"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",92,2,2,2,"Imported cases only",3,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",78,10,7,3,"Local transmission",2,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",111,37,18,6,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",70,43,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Antigua and Barbuda",47,2,2,2,"Imported cases only",12,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",103,39,7,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",82,45,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",96,10,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",32,32,18,3,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",10,14,14,3,"Local transmission",2,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",67,38,3,3,"Imported cases only",2,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",64,21,3,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",48,10,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Barbados",58,10,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","March 7, 2019","Not yet restricted"
"Belarus",73,35,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",9,2,6,2,"Local transmission",3,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Benin",47,2,2,2,"Imported cases only",3,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bhutan",47,2,2,2,"Imported cases only",8,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",88,3,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","January 6, 2020","Restricted"
