"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Bosnia and Herzegovina",68,49,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
"Brazil",95,54,3,3,"Local transmission",2,"Level 2: Exercise Increased Caution","January 14, 2020","Not yet restricted"
"Bulgaria",43,5,7,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","November 22, 2019","Not yet restricted"
"Burkina Faso",65,59,3,3,"Imported cases only",2,"Level 4: Do Not Travel","November 26, 2019","Not yet restricted"
"Cambodia",26,5,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 7, 2019","Restricted"
"Cameroon",48,21,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Canada",99,50,26,14,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cayman Islands",47,2,3,2,"Imported cases only",12,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Chile",61,56,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","November 8, 2019","Not yet restricted"
"China",38,24,13,5,"Local transmission",2,"Level 4: Do Not Travel","February 2, 2020","Restricted"
"Colombia",105,53,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Restricted"
"Costa Rica",98,30,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","January 7, 2020","Not yet restricted"
"Croatia",81,41,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cuba",48,21,3,2,"Local transmission",2,"Level 2: Exercise Increased Caution","November 21, 2019","Not yet restricted"
"Cyprus",77,11,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","August 21, 2019","Not yet restricted"
"Denmark",2,27,14,2,"Local transmission",2,"Level 2: Exercise Increased Caution","June 25, 2019","Restricted"
"Djibouti",47,3,2,2,"Under investigation",2,"Level 1: Exercise Normal Precautions","November 18, 2019","Not yet restricted"
"Dominican Republic",91,2,3,2,"Local transmission",3,"Level 2: Exercise Increased Caution","April 15, 2019","Not yet restricted"
"Ecuador",90,57,7,2,"Local transmission",2,"Level 2: Exercise Increased Caution","November 7, 2019","Not yet restricted"
"Egypt",57,13,18,6,"Local transmission",2,"Level 2: Exercise Increased Caution","March 6, 2020","Restricted"
"Equatorial Guinea",23,10,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","December 11, 2019","Not yet restricted"
"Estonia",18,15,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","August 2, 2019","Not yet restricted"
"Eswatini",47,2,2,2,"Imported cases only",11,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
"Ethiopia",100,3,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","August 20, 2019","Not yet restricted"
"Finland",28,17,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","September 27, 2019","Not yet restricted"
"France",42,2,9,2,"Local transmission",3,"Level 2: Exercise Increased Caution","April 1, 2019","Not yet restricted"
"French Guiana",87,47,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","November 19, 2019","Not yet restricted"
"French Polynesia",23,2,2,2,"Imported cases only",5,"Level 1: Exercise Normal Precautions","March 25, 2019","Not yet restricted"
"Gabon",23,10,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 10, 2019","Not yet restricted"
"Georgia",69,47,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Germany",39,4,5,2,"Local transmission",2,"Level 2: Exercise Increased Caution","June 19, 2019","Restricted"
"Ghana",83,3,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","July 17, 2019","Not yet restricted"
"Greece",29,2,15,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","July 5, 2019","Restricted"
"Guatemala",100,2,3,2,"Imported cases only",3,"Level 2: Exercise Increased Caution","February 28, 2019","Not yet restricted"
"Guinea",47,2,2,2,"Imported cases only",11,"Level 2: Exercise Increased Caution","February 13, 2020","Not yet restricted"
"Guyana",96,3,3,2,"Local transmission",2,"Level 2: Exercise Increased Caution","May 30, 2019","Not yet restricted"
"Honduras",83,3,2,2,"Imported cases only",2,"Level 3: Reconsider Travel","June 24, 2019","Not yet restricted"
"Hungary",77,29,3,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","August 22, 2019","Restricted"
"Iceland",17,11,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","June 20, 2019","Not yet restricted"
"India",53,39,12,2,"Local transmission",2,"Level 2: Exercise Increased Caution","March 8, 2019","Restricted"
"Indonesia",60,48,24,11,"Local transmission",2,"Level 2: Exercise Increased Caution","December 27, 2019","Restricted"
"Iran",56,36,22,12,"Local transmission",2,"Level 4: Do Not Travel","February 26, 2020","Not yet restricted"
"Iraq",55,2,23,2,"Local transmission",3,"Level 4: Do Not Travel","January 11, 2020","Not yet restricted"
"Ireland",22,2,7,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","November 4, 2019","Not yet restricted"
"Italy",27,18,11,8,"Local transmission",2,"Level 3: Reconsider Travel","February 29, 2020","Restricted"
"Jamaica",50,3,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","April 15, 2019","Not yet restricted"
"Japan",41,19,10,3,"Local transmission",2,"Level 2: Exercise Increased Caution","February 22, 2020","Restricted"
"Jordan",76,38,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","December 12, 2018","Restricted"
"Kazakhstan",68,44,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","April 3, 2019","Not yet restricted"
"Kenya",101,47,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Kuwait",52,37,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Latvia",79,5,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","July 25, 2019","Not yet restricted"
"Lebanon",51,38,14,3,"Local transmission",2,"Level 3: Reconsider Travel","October 21, 2019","Not yet restricted"
"Liberia",58,3,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 7, 2019","Not yet restricted"
"Liechtenstein",63,42,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","October 8, 2019","Not yet restricted"
"Lithuania",65,3,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","June 4, 2019","Not yet restricted"
"Luxembourg",15,26,7,3,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 29, 2020","Not yet restricted"
"Malaysia",37,8,7,6,"Local transmission",2,"Level 1: Exercise Normal Precautions","April 9, 2019","Restricted"
"Maldives",50,2,2,2,"Local transmission",5,"Level 2: Exercise Increased Caution","May 2, 2019","Not yet restricted"
"Malta",74,35,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","July 1, 2019","Not yet restricted"
"Mauritania",58,3,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","December 26, 2019","Not yet restricted"
"Mauritius",23,44,2,2,"Under investigation",2,"Level 1: Exercise Normal Precautions","December 18, 2019","Not yet restricted"
"Mexico",105,5,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","December 17, 2019","Restricted"
"Moldova",68,2,2,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","July 17, 2019","Not yet restricted"
"Mongolia",31,3,2,2,"Imported cases only",2,"Level 4: Do Not Travel","March 18, 2020","Not yet restricted"
"Montenegro",58,2,2,2,"Imported cases only",3,"Level 1: Exercise Normal Precautions","January 15, 2020","Not yet restricted"
"Montserrat",47,3,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Morocco",75,5,7,2,"Local transmission",2,"Level 2: Exercise Increased Caution","April 2, 2019","Restricted"
"Namibia",58,2,2,2,"Imported cases only",11,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
"Nepal",47,2,2,2,"Imported cases only",9,"Level 2: Exercise Increased Caution","January 2, 2020","Not yet restricted"
"Netherlands",14,2,16,2,"Local transmission",3,"Level 2: Exercise Increased Caution","July 19, 2019","Not yet restricted"
"New Zealand",13,30,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","November 21, 2019","Restricted"
"Nigeria",80,59,2,2,"Imported cases only",2,"Level 3: Reconsider Travel","October 29, 2019","Restricted"
"North Macedonia",68,21,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 23, 2019","Not yet restricted"
"Norway",7,7,12,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","September 13, 2019","Restricted"
"Oman",66,30,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Pakistan",62,23,2,2,"Imported cases only",2,"Level 3: Reconsider Travel","January 31, 2020","Not yet restricted"
"Panama",104,51,3,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 3, 2019","Not yet restricted"
"Paraguay",87,10,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 22, 2019","Not yet restricted"
"Peru",89,55,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","October 22, 2019","Restricted"
"Philippines",11,2,6,6,"Local transmission",3,"Level 2: Exercise Increased Caution","April 9, 2019","Restricted"
"Poland",21,2,15,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","January 14, 2020","Not yet restricted"
"Portugal",35,9,7,3,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 28, 2019","Not yet restricted"
"Qatar",72,2,2,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Romania",16,25,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","August 5, 2019","Not yet restricted"
"Russia",8,23,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","February 10, 2020","Restricted"
"Rwanda",87,47,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 11, 2019","Restricted"
"Saint Lucia",58,2,2,2,"Imported cases only",5,"Level 1: Exercise Normal Precautions","April 15, 2019","Not yet restricted"
"Saudi Arabia",61,27,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","September 17, 2019","Restricted"
"Senegal",68,30,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","April 25, 2019","Not yet restricted"
"Seychelles",100,10,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","December 18, 2019","Not yet restricted"
"Singapore",25,20,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 20, 2018","Restricted"
"Slovakia",3,29,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","July 26, 2019","Not yet restricted"
"Slovenia",20,2,3,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","January 15, 2020","Not yet restricted"
"Somalia",47,2,2,2,"Imported cases only",4,"Level 4: Do Not Travel","October 28, 2019","Not yet restricted"
"South Africa",107,23,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","December 23, 2019","Restricted"
"South Korea",40,31,19,7,"Local transmission",2,"Level 3: Reconsider Travel","February 29, 2020","Restricted"
"Spain",6,12,17,4,"Local transmission",2,"Level 2: Exercise Increased Caution","October 21, 2019","Restricted"
"Sri Lanka",71,38,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","June 24, 2019","Restricted"
"Sudan",47,2,3,2,"Imported cases only",11,"Level 3: Reconsider Travel","September 26, 2019","Not yet restricted"
"Suriname",47,2,2,2,"Imported cases only",5,"Level 1: Exercise Normal Precautions","October 18, 2019","Not yet restricted"
"Sweden",5,6,12,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","March 29, 2019","Not yet restricted"
"Switzerland",24,16,8,6,"Local transmission",2,"Level 1: Exercise Normal Precautions","October 8, 2019","Not yet restricted"
"Thailand",59,46,3,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","February 7, 2020","Restricted"
"Togo",47,2,2,2,"Imported cases only",13,"Level 1: Exercise Normal Precautions","May 22, 2019","Not yet restricted"
"Trinidad and Tobago",101,10,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Tunisia",94,21,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","January 2, 2019","Not yet restricted"
"Turkey",12,22,7,3,"Local transmission",2,"Level 2: Exercise Increased Caution","September 5, 2019","Restricted"
"Ukraine",54,49,7,2,"Local transmission",2,"Level 2: Exercise Increased Caution","February 19, 2020","Restricted"
"United Arab Emirates",49,40,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 17, 2019","Restricted"
"United Kingdom",19,28,4,2,"Local transmission",2,"Level 2: Exercise Increased Caution","April 22, 2019","Restricted"
"United States of America",102,52,25,13,"Local transmission",2,"Do not travel","18 Mar 2020","Restricted"
"Uruguay",94,43,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","August 2, 2019","Not yet restricted"
"Uzbekistan",54,2,2,2,"Imported cases only",3,"Level 1: Exercise Normal Precautions","December 13, 2018","Not yet restricted"
"Venezuela",68,44,2,2,"Imported cases only",2,"Level 4: Do Not Travel","December 2, 2019","Not yet restricted"
"Zambia",58,10,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
