"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Hungary",76,43,3,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","August 22, 2019","Restricted"
"Iceland",14,27,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","June 20, 2019","Not yet restricted"
"India",50,16,12,3,"Local transmission",2,"Level 2: Exercise Increased Caution","March 8, 2019","Restricted"
"Indonesia",57,2,17,2,"Local transmission",3,"Level 2: Exercise Increased Caution","December 27, 2019","Restricted"
"Iran",54,44,22,17,"Local transmission",2,"Level 4: Do Not Travel","February 26, 2020","Not yet restricted"
"Iraq",52,51,4,7,"Local transmission",2,"Level 4: Do Not Travel","January 11, 2020","Not yet restricted"
"Ireland",20,33,9,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","November 4, 2019","Not yet restricted"
"Italy",23,21,10,10,"Local transmission",2,"Level 3: Reconsider Travel","February 29, 2020","Restricted"
"Jamaica",87,13,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","April 15, 2019","Not yet restricted"
"Japan",38,11,11,11,"Local transmission",2,"Level 2: Exercise Increased Caution","February 22, 2020","Restricted"
"Jordan",70,50,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","December 12, 2018","Restricted"
"Kazakhstan",68,49,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","April 3, 2019","Not yet restricted"
"Kenya",21,2,2,2,"Local transmission",3,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Kuwait",49,56,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Latvia",79,48,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","July 25, 2019","Not yet restricted"
"Lebanon",47,47,12,2,"Local transmission",2,"Level 3: Reconsider Travel","October 21, 2019","Not yet restricted"
"Liberia",46,41,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 7, 2019","Not yet restricted"
"Liechtenstein",80,2,2,2,"Imported cases only",3,"Level 1: Exercise Normal Precautions","October 8, 2019","Not yet restricted"
